﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
COURBEVOIE;87382200;DIM;2024-01-21;2024;L;L2;De 6h à 10h;362
COURBEVOIE;87382200;JOB;2024-01-16;2024;L;L2;Après 20h;458
CRECY-LA-CHAPELLE;87116772;JOB;2023-09-19;2023;P;P;De 6h à 10h;200
CREIL;87276006;JOB;2024-01-16;2024;H;H;De 6h à 10h;137
DAMMARTIN-JUILLY-SAINT-MARD;87271536;JOB;2024-01-16;2024;K;K;De 10h à 16h;56
DAMMARTIN-JUILLY-SAINT-MARD;87271536;SAM;2024-01-20;2024;K;K;Après 20h;7
DEUIL-MONTMAGNY;87276345;SAM;2024-01-20;2024;H;H;De 16h à 20h;872
DOURDAN;87545525;SAM;2025-08-02;2025;C;C;Après 20h;59
DOURDAN;87545525;SAM;2025-08-02;2025;C;C;Avant 6h;10
DOURDAN;87545525;SAM;2025-08-02;2025;C;C;De 6h à 10h;138
DRANCY;87271403;JOB;2023-10-10;2023;B;B;Avant 6h;824
DREUX;87393488;DIM;2024-01-21;2024;N;N;De 10h à 16h;502
DUGNY-LA-COURNEUVE;87697342;SAM;2021-11-20;2021;T11;T11;De 16h à 20h;203
ENGHIEN-LES-BAINS;87276022;DIM;2024-01-21;2024;H;H;De 16h à 20h;1616
EPINAY-SUR-SEINE;87271148;DIM;2021-11-21;2021;T11;T11;De 10h à 16h;882
EPINAY-SUR-SEINE;87271148;DIM;2021-11-21;2021;T11;T11;De 16h à 20h;697
EPINAY-SUR-SEINE;87271148;JOB;2025-06-02;2025;C;C;Après 20h;186
EPINAY-SUR-SEINE;87271148;SAM;2021-11-20;2021;T11;T11;De 16h à 20h;987
EPINAY-VILLETANEUSE;87271122;DIM;2021-11-21;2021;T11;T11;Avant 6h;18
EPINAY-VILLETANEUSE;87271122;JOB;2021-11-23;2021;T11;T11;Avant 6h;70
ERMONT-EAUBONNE;87276055;DIM;2024-01-21;2024;H;H;Après 20h;804
ERMONT-HALTE;87276584;DIM;2024-01-21;2024;H;H;Après 20h;58
ERMONT-HALTE;87276584;SAM;2024-01-20;2024;H;H;De 16h à 20h;237
ETRECHY;87545145;JOB;2025-11-02;2025;C;C;De 10h à 16h;209
EVRY-COURCOURONNES;87681387;JOB;2024-05-03;2024;D;D;De 10h à 16h;4581
EVRY-COURCOURONNES;87681387;SAM;2024-11-30;2024;T12;T12;De 16h à 20h;1118
FAREMOUTIERS-POMMEUSE;87116277;SAM;2023-11-18;2023;P;P;De 6h à 10h;49
FONTAINEBLEAU-AVON;87682211;DIM;2024-01-21;2024;R;R;Après 20h;318
FONTAINEBLEAU-AVON;87682211;JOB;2024-01-16;2024;R;R;Après 20h;218
FONTENAY-LE-FLEURY;87393405;DIM;2024-01-21;2024;N;N;De 10h à 16h;464
FOURQUEUX-BEL-AIR;87733675;DIM;2023-10-15;2023;T13;T13;De 6h à 10h;61
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;JOB;2025-06-02;2025;C;C;De 16h à 20h;764
ABLON;87545269;JOB;2025-06-02;2025;C;C;Avant 6h;98
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;JOB;2023-10-10;2023;B;B;De 16h à 20h;4278
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;SAM;2021-09-18;2021;T4;T4;De 10h à 16h;363
AMEDEE-GORDINI;87745844;DIM;2024-01-12;2024;T12;T12;De 6h à 10h;86
ALLEE-ROYALE;87710913;JOB;2023-10-19;2023;T13;T13;De 16h à 20h;21
ANDRESY;87381491;DIM;2024-01-21;2024;J;J6;De 6h à 10h;56
ARGENTEUIL;87381848;DIM;2024-01-21;2024;J;J6;De 16h à 20h;2220
ARGENTEUIL;87381848;DIM;2024-01-21;2024;J;J6;Après 20h;771
ASNIERES-SUR-SEINE;87381137;DIM;2024-01-21;2024;J;J4;De 16h à 20h;974
ASNIERES-SUR-SEINE;87381137;JOB;2024-01-16;2024;J;J6;Après 20h;57
ATHIS-MONS;87545251;SAM;2025-08-02;2025;C;C;De 16h à 20h;342
AULNAY-SOUS-BOIS;87271411;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;1686
AULNAY-SOUS-BOIS;87271411;JOB;2021-09-21;2021;T4;T4;Après 20h;1068
AVENUE-DU-PRESIDENT-KENNEDY-MAISON-DE-RADIO-FRANCE;87543207;DIM;2025-09-02;2025;C;C;De 16h à 20h;349
AVENUE-FOCH;87381038;DIM;2025-09-02;2025;C;C;De 16h à 20h;163
AVENUE-DU-PRESIDENT-KENNEDY-MAISON-DE-RADIO-FRANCE;87543207;DIM;2025-09-02;2025;C;C;Avant 6h;2
BECON-LES-BRUYERES;87382002;JOB;2024-01-16;2024;L;L2;De 6h à 10h;3757
